Chromosome	Start	End	Strand	Gene	Transcription_Start_Site
chr19	5377523	5388703	-	Sart1	5388015
chr3	95676201	95687917	-	Adamtsl4	95687917
chr3	95676201	95687917	-	Adamtsl4	95687858
chr3	95676201	95687917	-	Adamtsl4	95687865
chr5	21424958	21482124	+	Fam185a	21424958
chr2	23156369	23199260	+	Yme1l1	23156369
chr2	130274430	130279313	+	Nop56	130274430
chr2	130274430	130279313	+	Nop56	130274455
chr2	130274430	130279313	+	Nop56	130274492
chr2	130274430	130279313	+	Nop56	130276717
chr2	130274430	130279313	+	Nop56	130277157
chr2	130274430	130279313	+	Nop56	130277315
chr13	44922075	45002147	-	Dtnbp1	45001834
chr13	44922075	45002147	-	Dtnbp1	45002147
chr13	44922075	45002147	-	Dtnbp1	45002091
chr13	44922075	45002147	-	Dtnbp1	45002096
chr5	137643031	137645714	-	Irs3	137645537
chr5	137643031	137645714	-	Irs3	137645714
chr2	126152141	126165279	+	Dtwd1	126154541
chr2	126152141	126165279	+	Dtwd1	126152141
chr8	106870242	106884566	+	Has3	106870242
chr8	106870242	106884566	+	Has3	106870836
chr8	106870242	106884566	+	Has3	106870891
chr6	128224288	128300823	-	Tead4	128275577
chr6	128224288	128300823	-	Tead4	128300813
chr6	128224288	128300823	-	Tead4	128300823
chr6	128224288	128300823	-	Tead4	128300738
chr18	61100598	61132149	+	Csf1r	61105572
chr18	61100598	61132149	+	Csf1r	61105591
chr18	61100598	61132149	+	Csf1r	61105650
chr18	61100598	61132149	+	Csf1r	61105852
chr9	121777607	121783818	+	Klhl40	121777691
chr16	32271468	32274781	+	Smco1	32271468
chr17	35655634	35667592	-	Vars2	35667592
chr17	25875074	25877169	+	Mettl26	25875074
chr17	25875074	25877169	+	Mettl26	25875501
chr17	25875074	25877169	+	Mettl26	25875530
chr8	45069137	45088506	+	Mtnr1a	45069137
chr8	45069137	45088506	+	Mtnr1a	45069374
chr10	93488768	93519304	+	Hal	93488768
chr7	12300430	12308582	+	Vmn1r82	12300430
chr7	12300430	12308582	+	Vmn1r82	12304802
chr9	21229730	21239361	-	Keap1	21239332
chr9	21229730	21239361	-	Keap1	21239071
chr9	21229730	21239361	-	Keap1	21238813
chr9	21229730	21239361	-	Keap1	21239361
chr9	21229730	21239361	-	Keap1	21239079
chr19	41933480	41944104	+	Zdhhc16	41933480
chr19	41933480	41944104	+	Zdhhc16	41933490
chr19	41933480	41944104	+	Zdhhc16	41933522
chr19	41933480	41944104	+	Zdhhc16	41937603
chr19	41933480	41944104	+	Zdhhc16	41938052
chr19	41933480	41944104	+	Zdhhc16	41941619
chr7	79743163	79785950	+	Wdr93	79743163
chr7	127017531	127021211	-	Prrt2	127021211
chr7	127017531	127021211	-	Prrt2	127019902
chr7	127017531	127021211	-	Prrt2	127021137
chr8	106883890	106893593	-	Gm50241	106893593
chr8	24602246	24674755	-	Adam18	24674755
chr8	24602246	24674755	-	Adam18	24628254
chr7	12319707	12329481	-	Vmn1r83	12329481
chr7	12319707	12329481	-	Vmn1r83	12322175
chr18	65872820	65886596	+	Grp	65872820
chr18	65872820	65886596	+	Grp	65873048
chr8	106883863	106893601	-	Chtf8	106893593
chr8	106883863	106893601	-	Chtf8	106893215
chr8	106883863	106893601	-	Chtf8	106893515
chr8	106883863	106893601	-	Chtf8	106893601
chr2	32599709	32620806	+	St6galnac6	32599709
chr2	32599709	32620806	+	St6galnac6	32599726
chr2	32599709	32620806	+	St6galnac6	32607011
chr2	32599709	32620806	+	St6galnac6	32607026
chr2	32599709	32620806	+	St6galnac6	32607043
chr2	32599709	32620806	+	St6galnac6	32608464
chr2	32599709	32620806	+	St6galnac6	32608717
chr2	32599709	32620806	+	St6galnac6	32609013
chr2	32599709	32620806	+	St6galnac6	32609043
chr2	32599709	32620806	+	St6galnac6	32606961
chr2	32599709	32620806	+	St6galnac6	32608071
chr9	121784016	121792507	-	Hhatl	121792507
chr9	121784016	121792507	-	Hhatl	121791120
chr9	121784016	121792507	-	Hhatl	121791346
chr9	121784016	121792507	-	Hhatl	121791086
chr9	121784016	121792507	-	Hhatl	121791087
chr9	121784016	121792507	-	Hhatl	121791854
chr7	12360313	12369273	-	Vmn1r84	12362764
chr7	12360313	12369273	-	Vmn1r84	12369273
chr13	27557995	27564606	-	Prl8a9	27564606
chr12	10390772	10395562	+	Rdh14	10390772
chr17	35108279	35111991	+	Ly6g5c	35108279
chr7	127015033	127017352	-	Pagr1a	127017352
chr7	127015033	127017352	-	Pagr1a	127017320
chr7	127015033	127017352	-	Pagr1a	127017317
chr8	9977707	9992155	+	Abhd13	9977707
chr8	9977707	9992155	+	Abhd13	9977717
chr4	82881751	82885148	-	Cer1	82885148
chr11	82892124	82900801	+	Fndc8	82892124
chr13	21387003	21402755	-	Zkscan3	21402713
chr13	21387003	21402755	-	Zkscan3	21402731
chr13	21387003	21402755	-	Zkscan3	21402755
chr13	21387003	21402755	-	Zkscan3	21402695
chr13	21387003	21402755	-	Zkscan3	21402716
chr12	32378704	32382943	+	Ccdc71l	32378704
chr15	75979872	75982455	-	Ccdc166	75982442
chr15	75979872	75982455	-	Ccdc166	75982455
chr7	79792241	79793788	-	Mesp1	79793788
chr7	127015051	127021097	-	Gm42742	127021039
chr7	127015051	127021097	-	Gm42742	127017352
chrY	69321132	69331861	+	Gm33815	69321132
chr19	43782192	43840740	+	Abcc2	43782192
chr19	43782192	43840740	+	Abcc2	43838803
chr12	8921664	8938742	+	Laptm4a	8921664
chr11	20062304	20112913	-	Actr2	20112913
chr17	8434423	8442496	+	T	8434423
chr17	8434423	8442496	+	T	8434925
chr17	8434423	8442496	+	T	8435411
chr10	61098642	61147703	-	Sgpl1	61147644
chr10	61098642	61147703	-	Sgpl1	61147674
chr10	61098642	61147703	-	Sgpl1	61147703
chr10	61098642	61147703	-	Sgpl1	61147676
chr10	61098642	61147703	-	Sgpl1	61146898
chr7	79810727	79813439	+	Mesp2	79810727
chrX	21484544	21489164	+	Agtr2	21484544
chr11	99345565	99351104	-	Krt27	99351104
chr5	31106285	31112526	+	Dnajc5g	31108307
chr5	31106285	31112526	+	Dnajc5g	31108319
chr6	135309127	135310405	-	Pbp2	135310405
chr11	5955693	5967780	+	Ykt6	5955693
chr3	86224680	86782692	+	Lrba	86224680
chr3	86224680	86782692	+	Lrba	86225289
chr3	86224680	86782692	+	Lrba	86548216
chr10	81606270	81620703	+	BC025920	81606303
chr10	81606270	81620703	+	BC025920	81606883
chr10	81606270	81620703	+	BC025920	81607025
chr18	61131277	61177050	-	Hmgxb3	61177050
chr18	61131277	61177050	-	Hmgxb3	61176997
chr2	30982279	31023586	+	Usp20	30982279
chr2	30982279	31023586	+	Usp20	30982363
chr2	30982279	31023586	+	Usp20	30982397
chr2	30982279	31023586	+	Usp20	30982429
chr2	30982279	31023586	+	Usp20	30995655
chr2	30982279	31023586	+	Usp20	30995756
chr2	30982279	31023586	+	Usp20	30998840
chr2	30982279	31023586	+	Usp20	30996042
chr17	35113948	35115428	-	Ly6g5b	35115428
chr8	104417680	104443047	-	Dync1li2	104443047
chr8	104417680	104443047	-	Dync1li2	104440554
chr13	98354242	98359305	+	Foxd1	98354242
chr7	145300828	145309557	+	Mrgprf	145300828
chr7	145300828	145309557	+	Mrgprf	145300899
chr16	32277459	32301434	+	Rnf168	32277461
chr2	112265825	112363163	+	Slc12a6	112265825
chr2	112265825	112363163	+	Slc12a6	112266742
chr2	112265825	112363163	+	Slc12a6	112266819
chr2	112265825	112363163	+	Slc12a6	112284577
chr8	111003188	111031751	-	Ddx19b	111027764
chr8	111003188	111031751	-	Ddx19b	111031751
chr5	31086106	31108237	-	Slc30a3	31093615
chr5	31086106	31108237	-	Slc30a3	31108237
chr5	31086106	31108237	-	Slc30a3	31088356
chr5	31086106	31108237	-	Slc30a3	31094801
chr5	31086106	31108237	-	Slc30a3	31108218
chr7	145314835	145324086	+	Mrgprd	145314835
chr19	5390049	5402526	-	Tsga10ip	5402526
chr19	5390049	5402526	-	Tsga10ip	5394401
chr2	131989415	132030258	-	Rassf2	132030001
chr2	131989415	132030258	-	Rassf2	132030202
chr2	131989415	132030258	-	Rassf2	132030258
chr2	131989415	132030258	-	Rassf2	132029166
chr7	12415153	12422751	-	Zfp551	12422751
chr7	12415153	12422751	-	Zfp551	12422589
chr1	68032186	69108059	-	Erbb4	69107756
chr1	68032186	69108059	-	Erbb4	69108059
chr17	32965814	32979233	+	Zfp472	32965814
chr17	32965814	32979233	+	Zfp472	32965845
chr17	7324646	7345974	+	Tcp10a	7324646
chr17	7324646	7345974	+	Tcp10a	7324667
chr17	7324646	7345974	+	Tcp10a	7324686
chr17	7324646	7345974	+	Tcp10a	7324689
chr17	7324646	7345974	+	Tcp10a	7324711
chr17	7324646	7345974	+	Tcp10a	7324734
chr17	7324646	7345974	+	Tcp10a	7324869
chr4	145213463	145246870	-	Tnfrsf1b	145246870
chr4	25609332	25800244	-	Fut9	25800146
chr4	25609332	25800244	-	Fut9	25800244
chr4	141016637	141060550	-	Crocc	141053722
chr4	141016637	141060550	-	Crocc	141060550
chr4	141016637	141060550	-	Crocc	141060545
chr4	141016637	141060550	-	Crocc	141058199
chr4	141016637	141060550	-	Crocc	141053661
chr3	89831370	89858834	+	She	89831370
chr4	42949814	42959425	+	Dnajb5	42949814
chr4	42949814	42959425	+	Dnajb5	42949867
chr4	42949814	42959425	+	Dnajb5	42950396
chr4	42949814	42959425	+	Dnajb5	42953094
chr4	31964097	32023467	+	Map3k7	31964097
chr4	31964097	32023467	+	Map3k7	31964120
chr4	31964097	32023467	+	Map3k7	31964257
chr4	31964097	32023467	+	Map3k7	31964263
chr4	149715375	149738044	-	Tmem201	149738044
chr6	48701582	48708225	-	Gimap6	48708225
chr6	48701582	48708225	-	Gimap6	48708213
chr6	48701582	48708225	-	Gimap6	48708196
chrY	65205185	65207527	-	Gm20924	65207527
chrY	65205185	65207527	-	Gm20924	65206008
chr5	116013586	116024508	-	Prkab1	116024462
chr5	116013586	116024508	-	Prkab1	116024508
chr7	16891786	16895436	+	Gng8	16891786
chr7	16891786	16895436	+	Gng8	16892212
chr7	16891786	16895436	+	Gng8	16892271
chr1	138963435	139178960	+	Dennd1b	138963435
chr1	138963435	139178960	+	Dennd1b	138967720
chr1	138963435	139178960	+	Dennd1b	138963709
chr9	121797627	121839461	-	Ccdc13	121839461
chr9	121797627	121839461	-	Ccdc13	121810146
chr7	29181321	29214035	-	Catsperg1	29213984
chr7	29181321	29214035	-	Catsperg1	29211495
chr7	29181321	29214035	-	Catsperg1	29214033
chr13	98489348	98492001	-	Gm10320	98492001
chr14	42111963	42117369	-	Gm7951	42117369
chr6	48684549	48692060	+	Gimap4	48684549
chr6	48684549	48692060	+	Gimap4	48684578
chr6	48684549	48692060	+	Gimap4	48684581
chr6	48684549	48692060	+	Gimap4	48684582
chr16	35694062	35769356	-	Slc49a4	35769356
chr19	5422805	5424979	-	Drap1	5424759
chr19	5422805	5424979	-	Drap1	5424979
chr19	5422805	5424979	-	Drap1	5424543
chr19	5422805	5424979	-	Drap1	5424921
chr19	5422805	5424979	-	Drap1	5424514
chr3	89864059	89913196	-	Il6ra	89913196
chr3	89864059	89913196	-	Il6ra	89913162
chrY	6916300	6918282	-	Gm20830	6918282
chrY	6916300	6918282	-	Gm20830	6917117
chr19	47260174	47464401	-	Sh3pxd2a	47464401
chr19	47260174	47464401	-	Sh3pxd2a	47314751
chr19	47260174	47464401	-	Sh3pxd2a	47464247
chr11	50966530	50973113	+	Olfr1378	50966530
chr11	50966530	50973113	+	Olfr1378	50969020
chr2	23207476	23267129	+	Potegl	23207476
chr2	23207476	23267129	+	Potegl	23207497
chr6	52257694	52260880	-	Hoxa13	52260803
chr6	52257694	52260880	-	Hoxa13	52260880
chr6	52257694	52260880	-	Hoxa13	52260802
chr6	5220852	5256286	-	Pon3	5256286
chr6	5220852	5256286	-	Pon3	5256235
chr14	42157290	42162622	-	Gm17027	42162622
chr7	90130213	90213465	+	Picalm	90130213
chr7	90130213	90213465	+	Picalm	90130215
chr7	90130213	90213465	+	Picalm	90130230
chr7	90130213	90213465	+	Picalm	90130293
chr7	90130213	90213465	+	Picalm	90130504
chr7	90130213	90213465	+	Picalm	90130516
chr7	90130213	90213465	+	Picalm	90131645
chr7	90130213	90213465	+	Picalm	90165513
chr7	90130213	90213465	+	Picalm	90172250
chr14	20649107	20656540	-	Myoz1	20656540
chr17	33773750	33781830	-	Angptl4	33781830
chr8	60993195	61131346	+	Nek1	60993195
chr8	60993195	61131346	+	Nek1	60993265
chr18	34689898	34720387	-	Gfra3	34720387
chr7	24482023	24504539	+	Cadm4	24482023
chr17	19361949	19401098	+	Vmn2r99	19361949
chr7	16906490	16910905	+	Ptgir	16906490
chr7	16906490	16910905	+	Ptgir	16906514
chr17	34377132	34386028	+	Btnl1	34377132
chr19	24999534	25202432	+	Dock8	24999534
chr9	121848563	121858362	-	Higd1a	121857612
chr9	121848563	121858362	-	Higd1a	121858362
chr9	121848563	121858362	-	Higd1a	121857562
chr9	121848563	121858362	-	Higd1a	121857535
chr9	121848563	121858362	-	Higd1a	121857567
chr9	121848563	121858362	-	Higd1a	121857613
chr9	121848563	121858362	-	Higd1a	121856595
chr6	135362545	135383173	+	Emp1	135362545
chr6	135362545	135383173	+	Emp1	135367493
chr6	135362545	135383173	+	Emp1	135362931
chr8	10006467	10039072	+	Tnfsf13b	10006633
chr8	10006467	10039072	+	Tnfsf13b	10006654
chr10	22645011	22704285	+	Slc2a12	22645011
chrY	7165068	7169293	-	Gm21244	7169293
chrY	7165068	7169293	-	Gm21244	7167777
chr4	123712710	123718202	-	Ndufs5	123716326
chr4	123712710	123718202	-	Ndufs5	123718186
chr4	123712710	123718202	-	Ndufs5	123718202
chr4	123712710	123718202	-	Ndufs5	123718181
chr3	94047981	94054885	-	Tdpoz9	94054885
chr3	94047981	94054885	-	Tdpoz9	94050213
chr4	8143362	8239041	-	Car8	8239041
chr3	94071622	94072644	-	Tdpoz7	94072644
chr6	48739054	48743795	+	Gimap1	48739054
chr6	48739054	48743795	+	Gimap1	48739073
chr6	48739054	48743795	+	Gimap1	48739076
chrX	21714896	21742355	+	Slc6a14	21714896
chr9	22247430	22259895	-	Zfp599	22259895
chr14	42185391	42190791	-	Gm3573	42190791
chr8	13338751	13378448	+	Tfdp1	13338751
chr8	13338751	13378448	+	Tfdp1	13338768
chr8	13338751	13378448	+	Tfdp1	13339326
chr8	13338751	13378448	+	Tfdp1	13339661
chr8	13338751	13378448	+	Tfdp1	13369465
chr8	13338751	13378448	+	Tfdp1	13339674
chr10	105187663	105574451	-	Tmtc2	105574435
chr2	82053222	82259879	+	Zfp804a	82053222
chr10	22712085	22731237	-	AC166256.1	22731237
chr10	22703879	22731938	-	Tbpl1	22731447
chr10	22703879	22731938	-	Tbpl1	22731938
chr10	119453830	120087261	+	Grip1	119453830
chr10	119453830	120087261	+	Grip1	119819389
chr10	119453830	120087261	+	Grip1	119819398
chr10	119453830	120087261	+	Grip1	119819512
chr10	119453830	120087261	+	Grip1	119819515
chr10	119453830	120087261	+	Grip1	119819525
chr10	119453830	120087261	+	Grip1	119992720
chr10	119453830	120087261	+	Grip1	119992922
chr10	119453830	120087261	+	Grip1	119993070
chr6	48718621	48724636	+	Gimap7	48718621
chr6	48718621	48724636	+	Gimap7	48718657
chr3	96629933	96633791	+	Rbm8a	96629933
chr3	96629933	96633791	+	Rbm8a	96629940
chr3	96629933	96633791	+	Rbm8a	96630197
chr2	4881564	4910557	+	Sephs1	4881564
chr2	4881564	4910557	+	Sephs1	4882245
chr1	45311538	45349706	+	Col3a1	45311538
chr1	45311538	45349706	+	Col3a1	45335766
chr1	45311538	45349706	+	Col3a1	45339958
chr7	44496581	44501486	+	Fam71e1	44496581
chr7	44496581	44501486	+	Fam71e1	44496599
chr7	44496581	44501486	+	Fam71e1	44496658
chr4	42979963	43000507	-	Vcp	43000507
chr6	48718607	48752644	+	Gm28053	48718607
chr6	48718607	48752644	+	Gm28053	48739057
chr10	81621785	81627797	-	Sirt6	81627320
chr10	81621785	81627797	-	Sirt6	81627797
chr10	81621785	81627797	-	Sirt6	81627257
chr1	143777272	143807466	+	Uchl5	143777272
chr1	143777272	143807466	+	Uchl5	143777281
chr1	143777272	143807466	+	Uchl5	143777321
chr5	146481965	146484704	+	Gm6408	146481965
chr4	138750533	138757626	-	Pla2g2f	138757626
chr6	48746197	48754210	+	Gimap5	48746197
chr17	34398820	34460734	+	BC051142	34398820
chr17	34398820	34460734	+	BC051142	34398821
chr17	34398820	34460734	+	BC051142	34417424
chr17	34398820	34460734	+	BC051142	34418057
chr17	34398820	34460734	+	BC051142	34421853
chr17	34398820	34460734	+	BC051142	34421870
chr17	34398820	34460734	+	BC051142	34448320
chr7	30763756	30781063	+	Dmkn	30763756
chr7	30763756	30781063	+	Dmkn	30763763
chr7	30763756	30781063	+	Dmkn	30763799
chr7	30763756	30781063	+	Dmkn	30765057
chr7	30763756	30781063	+	Dmkn	30776401
chr1	157458577	157492638	+	Cryzl2	157458577
chr1	157458577	157492638	+	Cryzl2	157458580
chr1	157458577	157492638	+	Cryzl2	157461952
chr12	8947929	8972028	+	Matn3	8947929
chr16	30256378	30267499	-	Cpn2	30267499
chr6	128321161	128355851	-	Tulp3	128355851
chr6	128321161	128355851	-	Tulp3	128355815
chr6	128321161	128355851	-	Tulp3	128355825
chr5	136116631	136122947	+	Polr2j	136116631
chr5	136116631	136122947	+	Polr2j	136116702
chr9	121898355	121911074	+	Ackr2	121898355
chr9	121898355	121911074	+	Ackr2	121898395
chr9	121898355	121911074	+	Ackr2	121906164
chr9	121898355	121911074	+	Ackr2	121906264
chr16	90826719	90905109	+	Eva1c	90826746
chr16	90826719	90905109	+	Eva1c	90830859
chr16	90826719	90905109	+	Eva1c	90830988
chr16	90826719	90905109	+	Eva1c	90831113
chr16	90826719	90905109	+	Eva1c	90846398
chr13	21421275	21441058	-	Pgbd1	21441053
chr13	21421275	21441058	-	Pgbd1	21440710
chr16	35770375	35828477	+	Hspbap1	35770375
chr16	32332257	32393747	+	Ubxn7	32332257
chr16	32332257	32393747	+	Ubxn7	32332268
chr11	65807175	65829239	+	Zkscan6	65807244
chr11	65807175	65829239	+	Zkscan6	65807175
chr11	50981967	50986593	+	Olfr1377	50981967
chr11	50981967	50986593	+	Olfr1377	50982074
chr11	50981967	50986593	+	Olfr1377	50984658
chr18	12599896	12738863	+	Ttc39c	12599896
chr18	12599896	12738863	+	Ttc39c	12599926
chr18	12599896	12738863	+	Ttc39c	12643344
chr18	12599896	12738863	+	Ttc39c	12643362
chr7	105895139	105953967	-	Gm4070	105953940
chr7	105895139	105953967	-	Gm4070	105953958
chr7	105895139	105953967	-	Gm4070	105953967
chr9	121914356	121916305	-	Cyp8b1	121916305
chr5	136122772	136136074	-	Lrwd1	136136074
chr5	136122772	136136074	-	Lrwd1	136130250
chr5	136122772	136136074	-	Lrwd1	136135997
chr13	41016292	41022586	+	Tmem14c	41016292
chr17	19504732	19535231	+	Vmn2r100	19504732
chr17	19504732	19535231	+	Vmn2r100	19504800
chr16	30269302	30283256	-	Lrrc15	30283256
chr17	32993129	33005457	+	Zfp952	32993139
chr17	32993129	33005457	+	Zfp952	32993197
chr17	32993129	33005457	+	Zfp952	32993201
chr13	27573922	27582171	-	Prl8a1	27582171
chr9	121950988	121980209	+	Gask1a	121950988
chr9	121950988	121980209	+	Gask1a	121951020
chr9	121950988	121980209	+	Gask1a	121951035
chr9	121950988	121980209	+	Gask1a	121952734
chr13	21442180	21453730	-	Zscan26	21453660
chr13	21442180	21453730	-	Zscan26	21453730
chrX	35888832	36076562	+	Dock11	35888832
chrX	35888832	36076562	+	Dock11	35947397
chrX	35888832	36076562	+	Dock11	36041238
chrY	7253787	7280017	+	Gm28998	7253787
chr4	42969604	42983640	+	1700022I11Rik	42969631
chr4	42969604	42983640	+	1700022I11Rik	42969934
chr4	42969604	42983640	+	1700022I11Rik	42969946
chr15	10486018	10499063	+	Rad1	10486018
chr15	10486018	10499063	+	Rad1	10486069
chr15	10486018	10499063	+	Rad1	10486080
chr11	51003596	51009676	+	Olfr51	51003596
chr11	51003596	51009676	+	Olfr51	51006974
chr2	23321246	23401973	+	Nxph2	23321246
chr17	33016863	33033402	-	Zfp763	33033402
chr2	91643669	91649791	-	Zfp408	91649779
chr2	91643669	91649791	-	Zfp408	91649791
chr1	87213914	87240488	+	Eif4e2	87213914
chr1	87213914	87240488	+	Eif4e2	87213939
chr1	87213914	87240488	+	Eif4e2	87213979
chr1	87213914	87240488	+	Eif4e2	87214286
chr6	128357000	128362911	-	Rhno1	128362812
chr6	128357000	128362911	-	Rhno1	128362868
chr6	128357000	128362911	-	Rhno1	128362579
chr6	128357000	128362911	-	Rhno1	128362695
chr6	128357000	128362911	-	Rhno1	128359357
chr1	69531214	69687245	-	Ikzf2	69685821
chr1	69531214	69687245	-	Ikzf2	69685886
chr1	69531214	69687245	-	Ikzf2	69687245
chr1	69531214	69687245	-	Ikzf2	69684157
chr1	69531214	69687245	-	Ikzf2	69685300
chr19	3896050	3907133	-	Tcirg1	3905230
chr19	3896050	3907133	-	Tcirg1	3906991
chr19	3896050	3907133	-	Tcirg1	3907133
chr19	3896050	3907133	-	Tcirg1	3906240
chr10	31313383	31328204	+	Hddc2	31313383
chr7	44501699	44524656	-	Mybpc2	44524656
chr7	44501699	44524656	-	Mybpc2	44509078
chr7	16915379	16924114	-	Calm3	16924114
chr7	16915379	16924114	-	Calm3	16917203
chr15	75993769	75999154	+	Mapk15	75993769
chr15	75993769	75999154	+	Mapk15	75998371
chr7	56239760	56536518	+	Oca2	56239760
chr7	56239760	56536518	+	Oca2	56239761
chr7	56239760	56536518	+	Oca2	56239781
chr11	110269369	110337716	-	Abca5	110337678
chr11	110269369	110337716	-	Abca5	110337622
chr11	110269369	110337716	-	Abca5	110337640
chr1	127486546	127679548	-	Tmem163	127679548
chr1	127486546	127679548	-	Tmem163	127678021
chr19	27322588	27337179	+	Kcnv2	27322588
chr12	114406474	114406961	-	Ighv6-4	114406773
chr7	16944682	16948828	+	Pnmal2	16944682
chr2	24603887	24763152	-	Cacna1b	24763152
chr2	24603887	24763152	-	Cacna1b	24763129
chr2	24603887	24763152	-	Cacna1b	24607534
chr2	24603887	24763152	-	Cacna1b	24763047
chr2	24603887	24763152	-	Cacna1b	24618321
chr2	24603887	24763152	-	Cacna1b	24632024
chr2	24603887	24763152	-	Cacna1b	24685868
chr7	24507006	24515682	+	Zfp428	24507006
chr7	24507006	24515682	+	Zfp428	24507070
chr7	24507006	24515682	+	Zfp428	24507099
chr7	24507006	24515682	+	Zfp428	24507130
chr6	56777524	56797813	-	Kbtbd2	56797736
chr6	56777524	56797813	-	Kbtbd2	56797813
chr6	56777524	56797813	-	Kbtbd2	56797279
chr4	140906344	140952586	+	Padi2	140906344
chrX	21743440	21745097	-	Gm28269	21745097
chr2	112363011	112368027	-	Emc4	112368027
chr8	4209543	4217459	-	Prr36	4217312
chr8	4209543	4217459	-	Prr36	4216912
chr8	4209543	4217459	-	Prr36	4217152
chr8	4209543	4217459	-	Prr36	4217459
chr7	24510483	24512455	-	Gm50092	24512455
chr9	121981606	121997110	-	Pomgnt2	121996013
chr9	121981606	121997110	-	Pomgnt2	121996025
chr9	121981606	121997110	-	Pomgnt2	121996009
chr9	121981606	121997110	-	Pomgnt2	121997110
chr9	121981606	121997110	-	Pomgnt2	121996010
chr19	8850768	8853909	+	Lrrn4cl	8850768
chr19	8850768	8853909	+	Lrrn4cl	8850785
chr2	69135800	69189330	+	Nostrin	69135800
chr5	146491363	146494132	+	Gm6370	146491365
chr5	146491363	146494132	+	Gm6370	146491363
chr5	25271798	25498783	-	Kmt2c	25300075
chr5	25271798	25498783	-	Kmt2c	25308550
chr5	25271798	25498783	-	Kmt2c	25498745
chr5	25271798	25498783	-	Kmt2c	25498702
chr5	25271798	25498783	-	Kmt2c	25498755
chr6	56832059	56879358	+	Fkbp9	56832059
chr10	62804570	62908996	-	Tet1	62899118
chr10	62804570	62908996	-	Tet1	62814540
chr10	62804570	62908996	-	Tet1	62814539
chr10	62804570	62908996	-	Tet1	62887324
chr10	62804570	62908996	-	Tet1	62887512
chr10	62804570	62908996	-	Tet1	62892986
chr10	62804570	62908996	-	Tet1	62908996
chr10	62804570	62908996	-	Tet1	62880014
chr4	44004452	44032846	+	Clta	44004452
chr4	44004452	44032846	+	Clta	44012638
chr4	44004452	44032846	+	Clta	44012678
chr4	44004452	44032846	+	Clta	44012686
chr4	44004452	44032846	+	Clta	44012643
chr2	112379211	112414240	+	Katnbl1	112379211
chr7	141392199	141402968	+	Taldo1	141392199
chr8	4166567	4211257	+	Evi5l	4166567
chr8	4166567	4211257	+	Evi5l	4166574
chr8	4166567	4211257	+	Evi5l	4166739
chr8	4166567	4211257	+	Evi5l	4206249
chr16	30307685	30310779	-	Gp5	30310779
chr4	26324506	26346891	-	Manea	26346891
chr1	127205015	127488336	+	Mgat5	127205018
chr1	127205015	127488336	+	Mgat5	127306762
chr2	84722104	84727350	-	Clp1	84727350
chr2	84722104	84727350	-	Clp1	84727242
chr16	45093402	45128077	+	Ccdc80	45093612
chr16	45093402	45128077	+	Ccdc80	45094053
chr16	32400506	32408227	+	Tm4sf19	32400506
chr4	138775735	138782046	+	Pla2g2d	138775735
chr4	138775735	138782046	+	Pla2g2d	138777894
chr1	157506728	157568425	+	Sec16b	157506728
chr1	157506728	157568425	+	Sec16b	157506810
chr1	157506728	157568425	+	Sec16b	157526147
chr1	157506728	157568425	+	Sec16b	157533131
chr9	122117266	122169702	+	Snrk	122117266
chr9	122117266	122169702	+	Snrk	122117283
chr9	122117266	122169702	+	Snrk	122117300
chr9	122117266	122169702	+	Snrk	122117303
chr9	122117266	122169702	+	Snrk	122117310
chr9	122117266	122169702	+	Snrk	122117347
chr8	70539457	70592858	+	Ell	70539457
chr8	70539457	70592858	+	Ell	70539688
chr5	95742014	95746617	+	Gm7982	95742014
chr5	95742014	95746617	+	Gm7982	95743794
chr5	95742014	95746617	+	Gm7982	95743822
chr17	7362815	7385464	-	Unc93a2	7385464
chr7	29221926	29232515	-	Kcnk6	29232515
chr6	23969161	23970060	-	Tas2r118	23970060
chr7	10443331	10449202	+	Vmn1r67	10443331
chr7	10443331	10449202	+	Vmn1r67	10446789
chr13	73911347	73937784	-	Trip13	73937784
chr14	26693274	26891703	+	Dnah12	26693274
chr14	26693274	26891703	+	Dnah12	26771029
chr4	149744036	149774277	-	Slc25a33	149774277
chr4	106590909	106617241	-	Lexm	106617238
chr1	132316126	132333488	+	Nuak2	132316126
chr11	82910550	82943403	+	Unc45b	82910550
chr11	82910550	82943403	+	Unc45b	82911253
chr17	7352064	7371979	-	Gm49630	7371979
chr14	42254659	42260048	-	Gm17026	42260048
chr7	10487229	10495394	-	Zik1	10495394
chr4	121039385	121055322	+	Col9a2	121039385
chr17	7350885	7352696	-	Ttll2	7352696
chr14	42291907	42297358	-	Gm9611	42297358
chr14	42291907	42297358	-	Gm9611	42294779
chr9	22276748	22307648	-	Zfp810	22307638
chr9	22276748	22307648	-	Zfp810	22307648
chr11	89390223	89841266	-	Ankfn1	89841266
chr11	89390223	89841266	-	Ankfn1	89526647
chr11	89390223	89841266	-	Ankfn1	89696845
chr11	89390223	89841266	-	Ankfn1	89418948
chr11	89390223	89841266	-	Ankfn1	89538556
chr4	63214004	63334991	+	Col27a1	63215435
chr14	42310210	42325394	+	Gm7995	42310211
chr14	42310210	42325394	+	Gm7995	42310210
chr10	121739937	121752878	+	BC048403	121739937
chr10	121739937	121752878	+	BC048403	121739938
chr11	59948206	59962205	+	Med9	59948206
chr14	42434156	42439673	-	Gm8005	42439673
chr7	138890836	138909519	-	Bnip3	138909506
