Chromosome	Start	End	Strand	Gene	Transcription_Start_Site
17	7738569	7827302	-	Fndc1	7827302
16	35978750	36037131	+	Kpna1	35983315
16	35978750	36037131	+	Kpna1	35983582
7	126759601	126765819	+	Mapk3	126759601
7	126759601	126765819	+	Mapk3	126759651
7	126759601	126765819	+	Mapk3	126760597
7	126759601	126765819	+	Mapk3	126760749
12	81197915	81333180	-	Slc8a3	81333164
12	81197915	81333180	-	Slc8a3	81332959
12	81197915	81333180	-	Slc8a3	81333180
12	81197915	81333180	-	Slc8a3	81294674
6	53873279	53978671	-	Cpvl	53978671
6	53873279	53978671	-	Cpvl	53978662
5	104935057	104982718	-	Abcg3	104982718
5	104935057	104982718	-	Abcg3	104977834
18	37935844	37955016	-	Hdac3	37955016
17	29317680	29330593	+	Pi16	29317680
17	29317680	29330593	+	Pi16	29318824
17	29317680	29330593	+	Pi16	29319192
17	29317680	29330593	+	Pi16	29319200
17	29317680	29330593	+	Pi16	29319240
4	138870992	138873964	-	Gm13030	138873964
15	99055174	99058978	+	Prph	99055174
15	99055174	99058978	+	Prph	99055175
15	99055174	99058978	+	Prph	99055181
15	99055174	99058978	+	Prph	99055970
3	18071950	18243338	-	Cyp7b1	18243338
11	69088490	69092384	+	Vamp2	69088490
11	69088490	69092384	+	Vamp2	69088510
7	142491074	142506771	-	Prr33	142506771
7	142491074	142506771	-	Prr33	142496991
7	142491074	142506771	-	Prr33	142506498
13	23531050	23531519	+	H4c8	23531050
10	129384083	129390198	+	Olfr784	129384083
10	129384083	129390198	+	Olfr784	129387635
11	20201432	20226856	+	Rab1a	20201432
11	20201432	20226856	+	Rab1a	20201435
11	20201432	20226856	+	Rab1a	20201439
11	20201432	20226856	+	Rab1a	20201602
10	129405426	129411193	+	Olfr785	129405426
10	121780991	122047315	-	Srgap1	122047308
10	121780991	122047315	-	Srgap1	121823133
10	121780991	122047315	-	Srgap1	122047315
5	124328089	124341844	+	2810006K23Rik	124328089
5	124328089	124341844	+	2810006K23Rik	124328098
11	73588302	73593008	-	Olfr385	73593008
11	73588302	73593008	-	Olfr385	73589736
2	31813290	31846005	-	Fibcd1	31846005
7	110308013	110614922	-	Sbf2	110614922
7	110308013	110614922	-	Sbf2	110614761
7	110308013	110614922	-	Sbf2	110362145
7	110308013	110614922	-	Sbf2	110364586
7	110308013	110614922	-	Sbf2	110442293
7	110308013	110614922	-	Sbf2	110614905
7	110308013	110614922	-	Sbf2	110462932
7	110308013	110614922	-	Sbf2	110614920
4	121145373	121215084	-	Rlf	121215084
4	121145373	121215084	-	Rlf	121188534
9	123066160	123113205	-	Zdhhc3	123113147
9	123066160	123113205	-	Zdhhc3	123113205
9	123066160	123113205	-	Zdhhc3	123112832
2	34893757	34914026	-	Phf19	34913976
2	34893757	34914026	-	Phf19	34914017
5	150118645	150497753	+	Fry	150118645
5	150118645	150497753	+	Fry	150118667
5	150118645	150497753	+	Fry	150196466
5	150118645	150497753	+	Fry	150259767
5	150118645	150497753	+	Fry	150295388
5	150118645	150497753	+	Fry	150436930
5	150118645	150497753	+	Fry	150451130
11	73598594	73605092	+	Olfr384	73598594
11	73598594	73605092	+	Olfr384	73602582
5	124250959	124327972	-	Mphosph9	124327972
5	124250959	124327972	-	Mphosph9	124327852
13	55573732	55597697	+	Tmed9	55573732
13	55573732	55597697	+	Tmed9	55593169
4	60218621	60222599	-	Mup8	60222580
4	60218621	60222599	-	Mup8	60222599
12	116047724	116063360	+	Zfp386	116047724
12	116047724	116063360	+	Zfp386	116047776
4	121316316	121324917	-	Gm12888	121324917
1	92934376	92947941	+	Capn10	92934376
1	92934376	92947941	+	Capn10	92934766
13	23533906	23534304	+	H2ac10	23533906
11	73688778	73713798	+	Zfp735	73688778
18	34758906	34773760	+	Fam53c	34758906
18	34758906	34773760	+	Fam53c	34759556
17	25877628	25880858	-	Wfikkn1	25880858
17	25877628	25880858	-	Wfikkn1	25880236
16	35926511	35939151	-	Dtx3l	35939151
11	79591212	79698023	+	Rab11fip4	79591212
11	79591212	79698023	+	Rab11fip4	79660562
2	27886425	28039514	+	Col5a1	27886425
2	27886425	28039514	+	Col5a1	28017441
2	27886425	28039514	+	Col5a1	28022286
18	80206765	80212741	+	Gm16286	80206765
18	80206765	80212741	+	Gm16286	80206798
18	80206765	80212741	+	Gm16286	80206867
18	80206765	80212741	+	Gm16286	80206895
18	80206765	80212741	+	Gm16286	80207260
4	41714798	41723170	-	Dctn3	41723170
4	41714798	41723170	-	Dctn3	41723163
2	69193895	69206194	-	Spc25	69206135
2	69193895	69206194	-	Spc25	69206157
2	69193895	69206194	-	Spc25	69206194
2	69193895	69206194	-	Spc25	69205130
2	69193895	69206194	-	Spc25	69206180
2	69193895	69206194	-	Spc25	69206190
7	56716465	57387188	-	Gabrg3	57387188
7	56716465	57387188	-	Gabrg3	57386871
6	88842558	88875044	-	Podxl2	88874045
6	88842558	88875044	-	Podxl2	88874597
6	88842558	88875044	-	Podxl2	88875044
6	88842558	88875044	-	Podxl2	88874738
6	88842558	88875044	-	Podxl2	88874796
5	145280500	145291278	+	Zscan25	145280500
5	145280500	145291278	+	Zscan25	145283352
17	33289544	33307241	+	Zfp955b	33289544
2	31887291	31946539	+	Lamc3	31887291
2	31887291	31946539	+	Lamc3	31887344
2	113285732	113297190	+	Tmco5b	113285732
16	55839953	55895285	-	Nxpe3	55895285
17	33329342	33358878	-	Zfp81	33358878
17	33329342	33358878	-	Zfp81	33358874
5	29229802	29378390	-	Lmbr1	29378384
5	29229802	29378390	-	Lmbr1	29378302
5	29229802	29378390	-	Lmbr1	29378330
5	29229802	29378390	-	Lmbr1	29378390
18	6435951	6516108	-	Epc1	6516108
18	6435951	6516108	-	Epc1	6490856
6	114397936	114483296	+	Hrh1	114397936
6	114397936	114483296	+	Hrh1	114398086
6	114397936	114483296	+	Hrh1	114403666
6	114397936	114483296	+	Hrh1	114403825
6	114397936	114483296	+	Hrh1	114458519
15	99074575	99083409	+	Troap	99074575
15	99074575	99083409	+	Troap	99074978
4	41723836	41731142	-	Arid3c	41730286
4	41723836	41731142	-	Arid3c	41731142
16	35938470	35972605	+	Parp9	35938470
16	35938470	35972605	+	Parp9	35939011
16	90220754	90226329	+	Sod1	90220754
8	53511727	53523421	+	Aga	53511727
18	80206795	80225855	+	Txnl4a	80206795
18	80206795	80225855	+	Txnl4a	80206863
1	139422288	139453005	+	Zbtb41	139422288
1	139422288	139453005	+	Zbtb41	139422382
3	58844028	58885340	-	Clrn1	58885212
3	58844028	58885340	-	Clrn1	58885340
6	128934381	128984707	+	Clec2g	128934381
6	128934381	128984707	+	Clec2g	128971160
6	128934381	128984707	+	Clec2g	128971261
6	128934381	128984707	+	Clec2g	128979409
5	146556136	146558915	+	Gm3415	146556136
5	146556136	146558915	+	Gm3415	146556164
1	83012523	83038448	-	Slc19a3	83038448
1	83012523	83038448	-	Slc19a3	83038431
16	90225680	90284503	-	Scaf4	90284308
16	90225680	90284503	-	Scaf4	90284503
16	90225680	90284503	-	Scaf4	90284425
9	123021326	123023705	+	Tmem42	123021326
9	123021326	123023705	+	Tmem42	123021375
4	41712033	41713534	-	Rpp25l	41713534
16	17405986	17430827	+	Snap29	17405986
4	41755228	41758695	+	Galt	41755228
5	44175154	44226626	-	Tapt1	44226622
3	87435773	87500678	+	Fcrl5	87435773
3	87435773	87500678	+	Fcrl5	87435813
3	87435773	87500678	+	Fcrl5	87435885
19	46396896	46488804	+	Sufu	46396896
19	46396896	46488804	+	Sufu	46396918
19	46396896	46488804	+	Sufu	46397004
19	46396896	46488804	+	Sufu	46397026
17	25882114	25919727	-	Rab40c	25919652
17	25882114	25919727	-	Rab40c	25919506
17	25882114	25919727	-	Rab40c	25919727
17	25882114	25919727	-	Rab40c	25919711
17	25882114	25919727	-	Rab40c	25919714
17	25882114	25919727	-	Rab40c	25919642
14	47648448	47739894	+	Ktn1	47648448
14	47648448	47739894	+	Ktn1	47649311
14	47648448	47739894	+	Ktn1	47649316
14	47648448	47739894	+	Ktn1	47663787
14	47648448	47739894	+	Ktn1	47663756
13	49341585	49387026	+	Bicd2	49341585
13	49341585	49387026	+	Bicd2	49341591
13	49341585	49387026	+	Bicd2	49341596
13	49341585	49387026	+	Bicd2	49383089
16	17331371	17343575	+	Serpind1	17331371
16	17331371	17343575	+	Serpind1	17331383
9	123034726	123067561	+	Tgm4	123034726
9	123034726	123067561	+	Tgm4	123034743
6	38625693	38637242	-	Klrg2	38637233
6	38625693	38637242	-	Klrg2	38637242
4	150087365	150105927	+	Gpr157	150087365
8	91070057	91123844	+	Rbl2	91070057
8	91070057	91123844	+	Rbl2	91070122
8	91070057	91123844	+	Rbl2	91070158
16	56690332	56717450	-	Tfg	56717450
16	56690332	56717450	-	Tfg	56705694
16	56690332	56717450	-	Tfg	56712976
16	56690332	56717450	-	Tfg	56717360
16	56690332	56717450	-	Tfg	56717182
16	17233572	17263430	+	Hic2	17233572
16	17233572	17263430	+	Hic2	17233664
6	83077869	83080855	+	Pcgf1	83077869
6	83077869	83080855	+	Pcgf1	83078346
6	83077869	83080855	+	Pcgf1	83078630
6	83077869	83080855	+	Pcgf1	83078691
6	83077869	83080855	+	Pcgf1	83078390
16	45224315	45257670	+	Btla	45224315
16	45224315	45257670	+	Btla	45224337
9	92457373	92492456	+	Plscr4	92457373
13	27658584	27668036	-	Prl7a2	27668036
14	37034909	37048964	-	Rgr	37048941
14	37034909	37048964	-	Rgr	37048964
1	58711508	58758884	+	Cflar	58711551
1	58711508	58758884	+	Cflar	58711560
1	58711508	58758884	+	Cflar	58713294
1	58711508	58758884	+	Cflar	58713317
16	90925809	90935114	-	Cfap298	90935114
16	90925809	90935114	-	Cfap298	90929983
16	90925809	90935114	-	Cfap298	90934723
16	90925809	90935114	-	Cfap298	90934506
8	71988482	72009626	-	Cyp4f18	72009626
8	71988482	72009626	-	Cyp4f18	71992915
8	104446719	104509910	-	Terb1	104509887
18	12740322	12755260	+	Cabyr	12740322
18	12740322	12755260	+	Cabyr	12741311
18	12740322	12755260	+	Cabyr	12741324
18	12740322	12755260	+	Cabyr	12741349
18	12740322	12755260	+	Cabyr	12741355
1	63445891	63596276	+	Adam23	63445895
1	63445891	63596276	+	Adam23	63446211
7	24546289	24573440	+	Xrcc1	24546289
7	24546289	24573440	+	Xrcc1	24547150
14	42847980	42853477	-	Gm21977	42853477
3	96670131	96691032	+	Ankrd35	96670131
7	106814129	106821472	+	Olfr701	106814129
7	106814129	106821472	+	Olfr701	106814144
7	106814129	106821472	+	Olfr701	106814601
1	143999338	144004161	-	Rgs2	144004161
1	143999338	144004161	-	Rgs2	144004032
10	105841067	105847833	+	Ccdc59	105841067
4	121414735	121423099	-	Gm12886	121423099
7	35586244	35639226	+	Ankrd27	35586244
7	35586244	35639226	+	Ankrd27	35586250
7	35586244	35639226	+	Ankrd27	35586277
7	35586244	35639226	+	Ankrd27	35615948
15	43020794	43170826	-	Rspo2	43170826
15	43020794	43170826	-	Rspo2	43170818
17	33360507	33394641	-	Zfp101	33394641
17	33360507	33394641	-	Zfp101	33394623
17	33360507	33394641	-	Zfp101	33394357
Y	7722941	7749195	+	Gm28576	7722941
9	123113215	123136129	+	Exosc7	123113215
9	123113215	123136129	+	Exosc7	123113302
8	71951038	71993792	+	Zfp961	71951038
8	71951038	71993792	+	Zfp961	71951067
8	71951038	71993792	+	Zfp961	71951071
8	71951038	71993792	+	Zfp961	71951091
2	114101170	114187024	-	Aqr	114175339
2	114101170	114187024	-	Aqr	114175277
8	95239045	95306585	-	Cngb1	95306585
8	95239045	95306585	-	Cngb1	95281590
8	95239045	95306585	-	Cngb1	95281610
8	95239045	95306585	-	Cngb1	95294074
8	95239045	95306585	-	Cngb1	95300666
2	30077684	30091022	+	Pkn3	30077684
2	30077684	30091022	+	Pkn3	30078213
2	30077684	30091022	+	Pkn3	30078584
6	5383386	5433022	+	Asb4	5383386
6	5383386	5433022	+	Asb4	5390427
17	25942233	25944961	-	Nhlrc4	25944932
10	105763189	105841380	-	Mettl25	105841378
9	92542223	92608428	+	Plod2	92542223
9	92542223	92608428	+	Plod2	92542264
12	73964481	73988966	+	Snapc1	73964526
12	73964481	73988966	+	Snapc1	73970253
12	73964481	73988966	+	Snapc1	73971896
17	25926421	25944936	-	Pigq	25937162
17	25926421	25944936	-	Pigq	25942048
17	25926421	25944936	-	Pigq	25942823
17	25926421	25944936	-	Pigq	25944936
17	25926421	25944936	-	Pigq	25941935
17	25926421	25944936	-	Pigq	25941894
17	25926421	25944936	-	Pigq	25931551
17	25926421	25944936	-	Pigq	25936834
17	25926421	25944936	-	Pigq	25941933
17	25926421	25944936	-	Pigq	25942862
17	25926421	25944936	-	Pigq	25944510
17	25926421	25944936	-	Pigq	25942832
14	42988342	42993624	-	Gm8082	42993624
5	136178127	136198963	-	Prkrip1	136198963
5	136178127	136198963	-	Prkrip1	136198908
17	33432896	33434268	+	Actl9	33432896
1	132356315	132391281	-	Tmcc2	132391281
1	132356315	132391281	-	Tmcc2	132367072
1	132356315	132391281	-	Tmcc2	132367887
1	132356315	132391281	-	Tmcc2	132390318
X	36195904	36199158	+	Zcchc12	36195904
X	36195904	36199158	+	Zcchc12	36195946
X	36195904	36199158	+	Zcchc12	36195959
X	36195904	36199158	+	Zcchc12	36195986
Y	7994833	7997168	-	Gm29049	7997168
17	33467850	33468686	-	Gm4125	33468686
14	37054830	37064946	+	Lrit1	37054830
Y	8069168	8071507	-	Gm20825	8071507
Y	8069168	8071507	-	Gm20825	8069993
17	7945614	7979824	+	Rsph3a	7945614
17	7945614	7979824	+	Rsph3a	7945653
17	7945614	7979824	+	Rsph3a	7970222
3	89939481	89963508	-	Atp8b2	89960629
3	89939481	89963508	-	Atp8b2	89963508
3	89939481	89963508	-	Atp8b2	89943757
3	89939481	89963508	-	Atp8b2	89946472
3	89939481	89963508	-	Atp8b2	89959554
3	89939481	89963508	-	Atp8b2	89963114
3	89939481	89963508	-	Atp8b2	89961815
8	25980604	25994133	-	Pomk	25994133
6	5483351	5496309	-	Pdk4	5496309
6	5483351	5496309	-	Pdk4	5496261
2	126552407	126588243	+	Slc27a2	126552407
2	126552407	126588243	+	Slc27a2	126556128
3	27938695	28133362	+	Pld1	27938695
3	27938695	28133362	+	Pld1	27950003
3	27938695	28133362	+	Pld1	27984171
3	27938695	28133362	+	Pld1	27984173
3	27938695	28133362	+	Pld1	28031262
3	27938695	28133362	+	Pld1	28109759
15	4898737	4962205	+	Mroh2b	4899142
17	20113210	20114226	-	Fpr-rs7	20114226
17	3326573	3531344	+	Tiam2	3326573
17	3326573	3531344	+	Tiam2	3397207
17	3326573	3531344	+	Tiam2	3482208
2	34941750	34961772	-	Traf1	34958163
2	34941750	34961772	-	Traf1	34961585
2	34941750	34961772	-	Traf1	34961772
2	34941750	34961772	-	Traf1	34958136
17	20182078	20183097	-	Fpr-rs6	20183097
13	21478907	21485507	+	Zkscan4	21478907
13	21478907	21485507	+	Zkscan4	21478971
12	73937653	73968375	+	Snapc1l	73937653
9	8994329	9239101	-	Arhgap42	9239101
9	8994329	9239101	-	Arhgap42	9238900
9	8994329	9239101	-	Arhgap42	9239026
12	73901375	73947530	+	Hif1a	73901375
12	73901375	73947530	+	Hif1a	73907904
6	38663067	38680865	+	Clec2l	38663067
7	28825217	28832247	+	Ech1	28825217
7	28825217	28832247	+	Ech1	28826204
17	20202321	20235052	-	Vmn2r105	20235052
17	20202321	20235052	-	Vmn2r105	20235047
17	20202321	20235052	-	Vmn2r105	20234872
10	117733679	117746365	-	Slc35e3	117746365
7	16992708	16997516	+	Ccdc8	16992708
7	141407794	141414136	-	Gatd1	141414136
3	59113855	59153618	-	P2ry14	59130762
3	59113855	59153618	-	P2ry14	59130624
3	59113855	59153618	-	P2ry14	59153492
3	59113855	59153618	-	P2ry14	59130622
3	59113855	59153618	-	P2ry14	59131327
3	59113855	59153618	-	P2ry14	59131213
3	59113855	59153618	-	P2ry14	59131118
3	59113855	59153618	-	P2ry14	59132462
9	123150946	123157432	+	Clec3b	123150946
11	4236420	4241026	+	Osm	4236420
2	4976122	4985748	+	Ucma	4976151
2	4976122	4985748	+	Ucma	4976181
2	4976122	4985748	+	Ucma	4976184
2	4976122	4985748	+	Ucma	4976122
12	111961375	111966977	-	Atp5mpl	111966977
12	111961375	111966977	-	Atp5mpl	111966894
12	111961375	111966977	-	Atp5mpl	111966957
5	31138063	31138829	-	Ucn	31138829
12	25093799	25097140	-	Id2	25097140
12	25093799	25097140	-	Id2	25096087
12	25093799	25097140	-	Id2	25096092
14	48446124	48524246	+	Tmem260	48446124
14	48446124	48524246	+	Tmem260	48446128
14	48446124	48524246	+	Tmem260	48446140
14	48446124	48524246	+	Tmem260	48446297
14	48446124	48524246	+	Tmem260	48446382
14	48446124	48524246	+	Tmem260	48472322
7	79875325	79920649	-	Ap3s2	79920649
7	126766334	126775649	+	Gdpd3	126766334
9	123170824	123216038	-	Cdcp1	123216038
13	23535422	23535951	+	H3c8	23535422
7	4915217	4922002	+	Zfp628	4915217
8	91111784	91199976	-	Aktip	91131151
8	91111784	91199976	-	Aktip	91133997
8	91111784	91199976	-	Aktip	91134465
8	91111784	91199976	-	Aktip	91134027
8	91111784	91199976	-	Aktip	91134023
8	91111784	91199976	-	Aktip	91133772
8	91111784	91199976	-	Aktip	91199971
7	24583838	24587641	-	Zfp575	24587641
17	7926000	7934897	+	Tagap	7926000
11	12236608	12464960	-	Cobl	12464804
11	12236608	12464960	-	Cobl	12464859
11	12236608	12464960	-	Cobl	12464957
11	12236608	12464960	-	Cobl	12412144
11	12236608	12464960	-	Cobl	12464960
11	12236608	12464960	-	Cobl	12369692
11	12236608	12464960	-	Cobl	12369640
11	12236608	12464960	-	Cobl	12378278
13	23541714	23543392	-	H2bc9	23543392
7	119462711	119479282	-	Umod	119479255
7	119462711	119479282	-	Umod	119479107
7	119462711	119479282	-	Umod	119479282
1	139454772	139494091	+	Aspm	139454772
1	139454772	139494091	+	Aspm	139454775
7	24587543	24608925	+	Ethe1	24587543
13	23544052	23545312	+	H3c7	23544052
Y	31602724	31634756	-	Gm28490	31634756
Y	31602724	31634756	-	Gm28490	31633324
13	98634978	98637410	-	Tmem174	98637410
13	23551258	23551648	-	H4c6	23551648
6	92370908	92706155	-	Prickle2	92567366
6	92370908	92706155	-	Prickle2	92706155
6	92370908	92706155	-	Prickle2	92534861
6	92370908	92706155	-	Prickle2	92481392
3	59096448	59101821	-	Gpr171	59101821
19	34100933	34122687	+	Lipm	34100933
5	146582398	146585239	-	Gpr12	146585239
5	146582398	146585239	-	Gpr12	146584832
5	146582398	146585239	-	Gpr12	146584819
5	146582398	146585239	-	Gpr12	146584843
4	11758147	11817895	+	Cdh17	11758147
4	11758147	11817895	+	Cdh17	11758193
13	41309581	41487362	-	Nedd9	41487293
13	41309581	41487362	-	Nedd9	41359247
13	41309581	41487362	-	Nedd9	41359739
5	145345279	145390926	+	Cyp3a57	145345287
2	25332338	25352212	+	Man1b1	25332729
2	25332338	25352212	+	Man1b1	25332338
4	150119283	150144169	+	Slc2a5	150119283
3	59005825	59318682	+	Med12l	59005825
3	59005825	59318682	+	Med12l	59006487
3	59005825	59318682	+	Med12l	59006978
2	30090944	30093648	-	Zdhhc12	30093648
2	30090944	30093648	-	Zdhhc12	30093635
9	123259053	123260764	-	Tmem158	123260764
10	129427306	129439080	+	Olfr786	129427306
10	129427306	129439080	+	Olfr786	129436814
13	23553262	23560686	+	H1f3	23553262
10	93540632	93584327	+	Ccdc38	93540632
10	93540632	93584327	+	Ccdc38	93554884
5	108132875	108233628	+	Ccdc18	108132914
11	78032280	78037866	+	Dhrs13	78032280
11	78032280	78037866	+	Dhrs13	78032352
11	78032280	78037866	+	Dhrs13	78032359
15	61985391	61990374	+	Myc	61985391
15	61985391	61990374	+	Myc	61985564
15	61985391	61990374	+	Myc	61985622
15	61985391	61990374	+	Myc	61987034
15	61985391	61990374	+	Myc	61987422
15	61985391	61990374	+	Myc	61985922
13	23561534	23562369	-	H3c6	23562369
11	106311341	106314762	-	Cd79b	106314762
11	106311341	106314762	-	Cd79b	106314529
13	23570517	23571220	-	H2ac8	23571220
19	34121469	34166053	-	Ankrd22	34166053
2	84765387	84775444	-	Serping1	84775404
2	84765387	84775444	-	Serping1	84775444
Y	8257907	8284105	+	Gm20824	8257907
7	19083849	19093821	+	Dmpk	19083849
7	19083849	19093821	+	Dmpk	19083868
7	19083849	19093821	+	Dmpk	19083885
7	19083849	19093821	+	Dmpk	19083941
7	19083849	19093821	+	Dmpk	19083959
9	123366927	123462666	+	Lars2	123366927
9	123366927	123462666	+	Lars2	123367003
9	123366927	123462666	+	Lars2	123377736
10	120083608	120112987	-	Helb	120112987
2	120567671	120601255	+	Snap23	120567671
2	120567671	120601255	+	Snap23	120567691
2	120567671	120601255	+	Snap23	120567697
2	120567671	120601255	+	Snap23	120567723
2	120567671	120601255	+	Snap23	120567738
5	76529311	76570294	+	Exoc1	76529311
5	76529311	76570294	+	Exoc1	76529323
5	76529311	76570294	+	Exoc1	76529358
5	76529311	76570294	+	Exoc1	76561374
5	5664829	5694578	-	Steap2	5694578
5	5664829	5694578	-	Steap2	5694060
5	5664829	5694578	-	Steap2	5694052
5	5664829	5694578	-	Steap2	5694067
5	5664829	5694578	-	Steap2	5694326
5	5664829	5694578	-	Steap2	5683063
11	77982754	78030539	+	Phf12	77982754
11	77982754	78030539	+	Phf12	77982802
11	77982754	78030539	+	Phf12	78023381
15	36770770	36796929	-	Ywhaz	36794538
15	36770770	36796929	-	Ywhaz	36794531
15	36770770	36796929	-	Ywhaz	36793837
15	36770770	36796929	-	Ywhaz	36796929
15	36770770	36796929	-	Ywhaz	36792414
15	36770770	36796929	-	Ywhaz	36793210
15	36770770	36796929	-	Ywhaz	36794547
15	99084086	99087817	-	C1ql4	99087817
9	18404418	18413177	+	Ubtfl1	18404418
9	18404418	18413177	+	Ubtfl1	18404420
9	18404418	18413177	+	Ubtfl1	18409094
8	122466147	122476064	-	Rnf166	122476064
8	36993604	36995533	+	AI429214	36993604
3	87525407	87540156	+	Etv3	87525407
3	87525407	87540156	+	Etv3	87525614
3	87525407	87540156	+	Etv3	87525578
15	99093170	99104737	+	Dnajc22	99099412
10	129461862	129467485	+	Olfr787	129461862
10	129461862	129467485	+	Olfr787	129462678
10	129470998	129476618	+	Olfr788	129470998
10	129470998	129476618	+	Olfr788	129472694
8	45304944	45333216	-	Cyp4v3	45333216
9	18430654	18446316	+	Mbd3l2	18430654
9	18430654	18446316	+	Mbd3l2	18443456
13	27706337	27716736	-	Prl7d1	27716736
4	145510759	145539188	+	Zfp990	145510759
4	145510759	145539188	+	Zfp990	145510791
4	145510759	145539188	+	Zfp990	145514884
10	129484752	129490542	+	Olfr789	129484752
10	129484752	129490542	+	Olfr789	129484760
7	4922028	4925006	+	Nat14	4922028
7	4922028	4925006	+	Nat14	4922251
7	4922028	4925006	+	Nat14	4922782
7	4922028	4925006	+	Nat14	4922868
7	4922028	4925006	+	Nat14	4922977
10	93583029	93589706	-	Snrpf	93589706
8	123332713	123369515	+	Spire2	123332713
8	123332713	123369515	+	Spire2	123350251
4	60418046	60421952	-	Mup9	60421934
4	60418046	60421952	-	Mup9	60421938
4	60418046	60421952	-	Mup9	60421933
4	60418046	60421952	-	Mup9	60421944
5	138976014	138997370	-	Pdgfa	138995037
5	138976014	138997370	-	Pdgfa	138994953
5	138976014	138997370	-	Pdgfa	138996087
5	138976014	138997370	-	Pdgfa	138997370
3	87550099	87561109	+	ETV3L	87550099
3	87550099	87561109	+	ETV3L	87551249
17	23993534	23998100	-	Prss22	23998100
11	54522847	54699285	+	Rapgef6	54522847
11	54522847	54699285	+	Rapgef6	54522890
11	54522847	54699285	+	Rapgef6	54522946
11	54522847	54699285	+	Rapgef6	54596174
11	54522847	54699285	+	Rapgef6	54622366
11	54522847	54699285	+	Rapgef6	54626339
11	54522847	54699285	+	Rapgef6	54691432
11	99364872	99374903	-	Krt28	99374903
14	43010188	43015628	-	Gm10376	43015628
14	43010188	43015628	-	Gm10376	43014764
15	76231174	76243441	-	Parp10	76243420
15	76231174	76243441	-	Parp10	76243441
7	141426446	141429491	-	Cend1	141429425
7	141426446	141429491	-	Cend1	141429491
7	141426446	141429491	-	Cend1	141429418
7	141426446	141429491	-	Cend1	141429351
17	20266767	20285553	-	Vmn2r106	20285553
12	106010228	106077426	+	Vrk1	106010228
12	106010228	106077426	+	Vrk1	106010292
12	106010228	106077426	+	Vrk1	106010316
12	106010228	106077426	+	Vrk1	106025807
12	106010228	106077426	+	Vrk1	106030717
9	94517864	94538081	-	Dipk2a	94538081
14	43071142	43076643	-	Gm8094	43076643
6	136327539	136329983	+	Eif4a3l1	136327539
6	136327539	136329983	+	Eif4a3l1	136328530
6	136327539	136329983	+	Eif4a3l1	136328543
14	43100601	43115190	+	Gm8104	43100601
14	25711642	25769039	-	Zcchc24	25769039
16	32474504	32487879	-	Slc51a	32487879
11	97029938	97033958	+	Scrn2	97029938
11	97029938	97033958	+	Scrn2	97030134
17	31386210	31476310	+	Pde9a	31386210
17	31386210	31476310	+	Pde9a	31386254
17	31386210	31476310	+	Pde9a	31386257
17	31386210	31476310	+	Pde9a	31386264
17	31386210	31476310	+	Pde9a	31414156
17	31386210	31476310	+	Pde9a	31433071
17	31386210	31476310	+	Pde9a	31433135
17	31386210	31476310	+	Pde9a	31461628
17	31386210	31476310	+	Pde9a	31469880
8	45266689	45294859	-	Klkb1	45294859
10	31332376	31445958	-	Tpd52l1	31445958
10	31332376	31445958	-	Tpd52l1	31445854
10	31332376	31445958	-	Tpd52l1	31445819
10	31332376	31445958	-	Tpd52l1	31445855
10	31332376	31445958	-	Tpd52l1	31445797
5	146734809	146795006	-	Usp12	146795006
6	17281185	17289115	+	Cav2	17281185
6	17281185	17289115	+	Cav2	17281327
6	17281185	17289115	+	Cav2	17281359
1	144138654	144177372	-	Rgs13	144177372
1	144138654	144177372	-	Rgs13	144177275
10	81628540	81647610	+	Ankrd24	81628540
10	81628540	81647610	+	Ankrd24	81628579
10	81628540	81647610	+	Ankrd24	81628635
10	81628540	81647610	+	Ankrd24	81628706
10	81628540	81647610	+	Ankrd24	81633703
10	81628540	81647610	+	Ankrd24	81633709
10	81628540	81647610	+	Ankrd24	81634539
10	81628540	81647610	+	Ankrd24	81643803
15	99125916	99213215	+	Spats2	99125916
15	99125916	99213215	+	Spats2	99125921
15	99125916	99213215	+	Spats2	99126556
15	99125916	99213215	+	Spats2	99126794
15	99125916	99213215	+	Spats2	99126822
11	62879455	62916780	+	Tvp23b	62879455
16	32430921	32475070	+	Pcyt1a	32430921
16	32430921	32475070	+	Pcyt1a	32430924
16	32430921	32475070	+	Pcyt1a	32431230
16	32430921	32475070	+	Pcyt1a	32431249
11	51619735	51623714	+	Nhp2	51619735
13	55152640	55168759	+	Fgfr4	55152640
8	82863356	83091268	+	Rnf150	82863356
11	99385254	99389364	-	Krt10	99389364
11	99385254	99389364	-	Krt10	99386097
5	105115767	105139586	-	Gbp4	105139586
5	105115767	105139586	-	Gbp4	105139545
5	105115767	105139586	-	Gbp4	105139544
5	105115767	105139586	-	Gbp4	105139540
11	51623671	51635896	-	Rmnd5b	51635896
11	51623671	51635896	-	Rmnd5b	51625834
17	24038144	24045954	+	Prss27	24038144
8	122376609	122417360	+	Zc3h18	122376609
8	122376609	122417360	+	Zc3h18	122376643
8	122376609	122417360	+	Zc3h18	122376644
8	122376609	122417360	+	Zc3h18	122376681
8	122376609	122417360	+	Zc3h18	122411325
6	17306335	17341452	+	Cav1	17306335
6	17306335	17341452	+	Cav1	17306345
6	17306335	17341452	+	Cav1	17306410
6	17306335	17341452	+	Cav1	17306423
6	17306335	17341452	+	Cav1	17307048
